,Features,MaxEV,Gini,Coefficients
0,READM-30-HF-HRRP,0.23252714008735376,0.008920948343183625,0.0005766777815641943
1,TOTAL HAC SCORE,0.15504130196390553,0.018990925785668408,-0.0006341044464927668
2,Hospital return days for heart failure patients,0.18604796362433473,0.011150368859579401,-0.00119564476770214
3,Hospital return days for pneumonia patients,0.18825300370438983,0.017842267236281822,-0.00011735046328537128
4,Appropriate care for severe sepsis and septic shock,0.1732566096103463,0.007754070772628555,0.0006606643395370931
5,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.17302792074540782,0.48149086658703827,-0.003084312997080403
6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),0.14574748700296006,0.016146663631390095,-0.0005686366979567926
7,"Patients who reported that they ""Usually"" received bathroom help as soon as they wanted",0.16957674097694786,0.012548970358332351,-0.0008435272192393413
8,Death rate for pneumonia patients,0.17339298142538015,0.034957519659179134,-0.0010468324577363975
9,Hospital overall rating,0.15184031949859977,0.014184898152248947,0.001154892132859299
